StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you currently indoors or outdoors?,How would you rate your current thermal sensation?,What is your current thermal preference?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}"
2025-01-27 03:30:50,2025-01-27 03:31:07,IP Address,128.61.86.178,100,16,True,2025-01-27 03:31:07,R_1NKy2sp17EcCCHv,,,,,33.7838,-84.4455,anonymous,EN,Indoors,Neutral,No change
2025-01-27 04:00:28,2025-01-27 04:00:43,IP Address,143.215.119.253,100,15,True,2025-01-27 04:00:44,R_1E6QwYDiFvqjCpt,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Slightly Warm,Cooler
2025-01-27 04:30:10,2025-01-27 04:30:26,IP Address,143.215.119.253,100,16,True,2025-01-27 04:30:27,R_3MbRKggneXctuc1,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Slightly Warm,Cooler
2025-01-27 05:04:19,2025-01-27 05:04:37,IP Address,143.215.119.253,100,17,True,2025-01-27 05:04:38,R_50TIT7C3IXDtayf,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Slightly Warm,Cooler
2025-01-27 05:58:56,2025-01-27 05:59:05,IP Address,143.215.119.253,100,8,True,2025-01-27 05:59:05,R_57jMS3ArID8uVBO,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Warm,Cooler
2025-01-27 07:00:17,2025-01-27 07:00:27,IP Address,143.215.119.253,100,9,True,2025-01-27 07:00:27,R_5kjsZHE641tTESZ,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Warm,Cooler
2025-01-27 07:30:30,2025-01-27 07:30:38,IP Address,143.215.119.253,100,7,True,2025-01-27 07:30:38,R_13gcpmC1AubDcBP,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Slightly Warm,Cooler
2025-01-27 08:00:12,2025-01-27 08:00:22,IP Address,143.215.119.253,100,9,True,2025-01-27 08:00:23,R_3PvVHjP4Q5wm7Ad,,,,,33.7749,-84.3975,anonymous,EN,Indoors,Slightly Warm,Cooler
