StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0,Q1,Q2_1,Q3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please tell me your research ID.,Are you currently indoors or outdoors?,How would you rate your current thermal sensation? - Current Thermal Sensation,What is your current thermal preference?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5""}"
11/18/2024 3:16,11/18/2024 3:17,IP Address,143.215.113.15,100,43,TRUE,11/18/2024 3:17,R_7SHTL5MFC4wdGo1,,,,,33.7838,-84.4455,qr,EN,,Indoors,0,No change
11/18/2024 4:00,11/18/2024 4:00,IP Address,143.215.113.15,100,21,TRUE,11/18/2024 4:00,R_6QDFbZKRTnEmA0R,,,,,33.7838,-84.4455,qr,EN,,Indoors,-1,Warmer
11/18/2024 5:00,11/18/2024 5:00,IP Address,143.215.113.15,100,21,TRUE,11/18/2024 5:00,R_5cSQBeSpLMe6pZS,,,,,33.7838,-84.4455,qr,EN,,Indoors,0,No change
11/18/2024 6:16,11/18/2024 6:16,IP Address,143.215.113.15,100,11,TRUE,11/18/2024 6:16,R_3gSMgxKHTSdXOKC,,,,,33.7838,-84.4455,qr,EN,,Indoors,0,No change
11/18/2024 7:00,11/18/2024 7:00,IP Address,143.215.113.15,100,18,TRUE,11/18/2024 7:00,R_11ZWCB7TpayPJwL,,,,,33.7838,-84.4455,anonymous,EN,,Indoors,-1,Warmer
11/18/2024 7:18,11/18/2024 7:18,IP Address,73.7.124.156,100,14,TRUE,11/18/2024 7:18,R_6p4pgYbamjfmzoF,,,,,34.0034,-84.4605,qr,EN,,Indoors,-1,Warmer
11/18/2024 8:00,11/18/2024 8:00,IP Address,143.215.113.15,100,21,TRUE,11/18/2024 8:00,R_7DO0BbLFOThGbzS,,,,,33.7838,-84.4455,anonymous,EN,,Indoors,-2,Warmer
11/18/2024 8:17,11/18/2024 8:17,IP Address,73.7.124.156,100,13,TRUE,11/18/2024 8:17,R_7QRpyfPcB9iisa6,,,,,34.0034,-84.4605,qr,EN,,Indoors,-2,Warmer
